record_id,region,category_title,videos_count,date
671,France,Entertainment,88,28/01/2018
672,France,Entertainment,82,29/01/2018
673,France,Entertainment,88,30/01/2018
674,France,Entertainment,96,31/01/2018
675,France,Entertainment,86,01/02/2018
676,France,Entertainment,72,02/02/2018
677,France,Entertainment,94,03/02/2018
678,France,Entertainment,110,04/02/2018
679,France,Entertainment,72,05/02/2018
680,France,Entertainment,94,06/02/2018
681,France,Entertainment,96,07/02/2018
682,France,Entertainment,82,08/02/2018
683,France,Entertainment,92,09/02/2018
684,France,Entertainment,84,10/02/2018
685,France,Entertainment,102,11/02/2018
686,France,Entertainment,80,12/02/2018
687,France,Entertainment,76,13/02/2018
688,France,Entertainment,92,14/02/2018
689,France,Entertainment,84,15/02/2018
690,France,Entertainment,90,16/02/2018
691,France,Entertainment,112,17/02/2018
692,France,Entertainment,114,18/02/2018
693,France,Entertainment,100,19/02/2018
694,France,Entertainment,86,20/02/2018
695,France,Entertainment,120,21/02/2018
696,France,Entertainment,106,22/02/2018
697,France,Entertainment,86,23/02/2018
698,France,Entertainment,78,24/02/2018
699,France,Entertainment,92,25/02/2018
700,France,Entertainment,82,26/02/2018
701,France,Entertainment,88,27/02/2018
702,France,Entertainment,102,28/02/2018
703,France,Entertainment,80,01/03/2018
704,France,Entertainment,82,02/03/2018
705,France,Entertainment,76,03/03/2018
706,France,Entertainment,106,04/03/2018
707,France,Entertainment,106,05/03/2018
708,France,Entertainment,100,06/03/2018
709,France,Entertainment,98,07/03/2018
710,France,Entertainment,112,08/03/2018
711,France,Entertainment,90,09/03/2018
712,France,Entertainment,86,10/03/2018
713,France,Entertainment,94,11/03/2018
714,France,Entertainment,74,12/03/2018
715,France,Entertainment,60,13/03/2018
716,France,Entertainment,62,14/03/2018
717,France,Entertainment,102,15/03/2018
718,France,Entertainment,90,16/03/2018
719,France,Entertainment,82,17/03/2018
720,France,Entertainment,106,18/03/2018
721,France,Entertainment,94,19/03/2018
722,France,Entertainment,92,20/03/2018
723,France,Entertainment,100,21/03/2018
724,France,Entertainment,98,22/03/2018
725,France,Entertainment,102,23/03/2018
726,France,Entertainment,72,24/03/2018
727,France,Entertainment,90,25/03/2018
728,France,Entertainment,66,26/03/2018
729,France,Entertainment,88,27/03/2018
730,France,Entertainment,76,28/03/2018
731,France,Entertainment,84,29/03/2018
732,France,Entertainment,94,30/03/2018
733,France,Entertainment,78,31/03/2018
